HomeTeam,AwayTeam,HomeGoals,AwayGoals,
Watford,Chelsea,1,2,
West Ham,Brighton,1,1,
Wolves,Burnley,0,0,
Southampton,Leicester,2,2,
Aston Villa,Man City,1,2,
Everton,Liverpool,1,4,
Spurs,Brentford,2,0,
Man Utd,Arsenal,3,2,
West Ham,Chelsea,3,2,
Newcastle,Burnley,1,0,
Southampton,Brighton,1,1,
Wolves,Liverpool,0,1,
Watford,Man City,1,3,
Leeds,Brentford,2,2,
Man Utd,Crystal Palace,1,0,
Spurs,Norwich,3,0,
Aston Villa,Leicester,2,1,
Everton,Arsenal,2,1,
Brentford,Watford,2,1,
Man City,Wolves,1,0,
Arsenal,Southampton,3,0,
Chelsea,Leeds,3,2,
Liverpool,Aston Villa,1,0,
Norwich,Man Utd,0,1,
Burnley,West Ham,0,0,
Leicester,Newcastle,4,0,
Crystal Palace,Everton,3,1,
Norwich,Aston Villa,0,2,
Man City,Leeds,7,0,
Brighton,Wolves,0,1,
Crystal Palace,Southampton,2,2,
Arsenal,West Ham,2,0,
Chelsea,Everton,1,1,
Liverpool,Newcastle,3,1,
Leeds,Arsenal,1,4,
Newcastle,Man City,0,4,
Wolves,Chelsea,0,0,
Spurs,Liverpool,2,2,
Man City,Leicester,6,3,
Norwich,Arsenal,0,5,
Spurs,Crystal Palace,3,0,
West Ham,Southampton,2,3,
Aston Villa,Chelsea,1,3,
Brighton,Brentford,2,0,
Newcastle,Man Utd,1,1,
Crystal Palace,Norwich,3,0,
Southampton,Spurs,1,1,
Watford,West Ham,1,4,
Leicester,Liverpool,1,0,
Chelsea,Brighton,1,1,
Brentford,Man City,0,1,
Man Utd,Burnley,3,1,
Arsenal,Man City,1,2,
Watford,Spurs,0,1,
Crystal Palace,West Ham,2,3,
Brentford,Aston Villa,2,1,
Everton,Brighton,2,3,
Leeds,Burnley,3,1,
Chelsea,Liverpool,2,2,
Man Utd,Wolves,0,1,
Southampton,Brentford,4,1,
West Ham,Norwich,2,0,
Brighton,Crystal Palace,1,1,
Man City,Chelsea,1,0,
Newcastle,Watford,1,1,
Norwich,Everton,2,1,
Wolves,Southampton,3,1,
Aston Villa,Man Utd,2,2,
Liverpool,Brentford,3,0,
West Ham,Leeds,2,3,
Brighton,Chelsea,1,1,
Leicester,Spurs,2,3,
Brentford,Man Utd,1,3,
Watford,Norwich,0,3,
Everton,Aston Villa,0,1,
Brentford,Wolves,1,2,
Leeds,Newcastle,0,1,
Man Utd,West Ham,1,0,
Southampton,Man City,1,1,
Arsenal,Burnley,0,0,
Crystal Palace,Liverpool,1,3,
Leicester,Brighton,1,1,
Chelsea,Spurs,2,0,
West Ham,Watford,1,0,
Newcastle,Everton,3,1,
Burnley,Man Utd,1,1,
Norwich,Crystal Palace,1,1,
Spurs,Southampton,2,3,
Man City,Brentford,2,0,
Aston Villa,Leeds,3,3,
Wolves,Arsenal,0,1,
Liverpool,Leicester,2,0,
Man Utd,Southampton,1,1,
Brentford,Crystal Palace,0,0,
Chelsea,Arsenal,2,4,
Everton,Leeds,3,0,
Watford,Brighton,0,2,
Norwich,Man City,0,4,
Burnley,Liverpool,0,1,
Newcastle,Aston Villa,1,0,
Spurs,Wolves,0,2,
Leicester,West Ham,2,2,
West Ham,Newcastle,1,1,
Arsenal,Brentford,2,1,
Aston Villa,Watford,0,1,
Brighton,Burnley,0,3,
Crystal Palace,Chelsea,0,1,
Liverpool,Norwich,3,1,
Southampton,Everton,2,0,
Man City,Spurs,2,3,
Leeds,Man Utd,2,4,
Wolves,Leicester,2,1,
Southampton,Norwich,2,0,
Leeds,Spurs,4,0,
Arsenal,Liverpool,0,2,
Brentford,Newcastle,0,2,
Brighton,Aston Villa,0,2,
Crystal Palace,Burnley,1,1,
Man Utd,Watford,0,0,
West Ham,Wolves,1,0,
Everton,Man City,0,1,
Chelsea,Leicester,1,1,
Aston Villa,Southampton,4,0,
Burnley,Chelsea,0,4,
Leicester,Leeds,1,0,
Liverpool,West Ham,1,0,
Man City,Man Utd,4,1,
Newcastle,Brighton,2,1,
Norwich,Brentford,1,3,
Spurs,Everton,5,0,
Watford,Arsenal,2,3,
Wolves,Crystal Palace,0,2,
Arsenal,Leicester,2,0,
Brentford,Burnley,2,0,
Brighton,Liverpool,0,2,
Chelsea,Newcastle,1,0,
Crystal Palace,Man City,0,0,
Everton,Wolves,0,1,
Leeds,Norwich,2,1,
Man Utd,Spurs,3,2,
Southampton,Watford,1,2,
West Ham,Aston Villa,2,1,
Aston Villa,Arsenal,0,1,
Burnley,Southampton,2,0,
Leicester,Brentford,2,1,
Liverpool,Man Utd,4,0,
Man City,Brighton,3,0,
Newcastle,Crystal Palace,1,0,
Norwich,Chelsea,1,3,
Spurs,West Ham,3,1,
Watford,Everton,0,0,
Wolves,Leeds,2,3,
Brighton,Norwich,0,0,
Burnley,Man City,0,2,
Chelsea,Brentford,1,4,
Crystal Palace,Arsenal,3,0,
Leeds,Southampton,1,1,
Liverpool,Watford,2,0,
Man Utd,Leicester,1,1,
Spurs,Newcastle,5,1,
West Ham,Everton,2,1,
Wolves,Aston Villa,2,1,
Arsenal,Brighton,1,2,
Aston Villa,Spurs,0,4,
Brentford,West Ham,2,0,
Everton,Man Utd,1,0,
Leicester,Crystal Palace,2,1,
Man City,Liverpool,2,2,
Newcastle,Wolves,1,0,
Norwich,Burnley,2,0,
Southampton,Chelsea,0,6,
Watford,Leeds,0,3,
Aston Villa,Liverpool,1,2,
Everton,Crystal Palace,3,2,
Leeds,Chelsea,0,3,
Man Utd,Norwich,3,2,
Newcastle,Leicester,2,1,
Southampton,Arsenal,1,0,
Spurs,Brighton,0,1,
Watford,Brentford,1,2,
West Ham,Burnley,1,1,
Wolves,Man City,1,5,
Arsenal,Man Utd,3,1,
Brentford,Spurs,0,0,
Brighton,Southampton,2,1,
Burnley,Wolves,1,0,
Chelsea,West Ham,1,0,
Crystal Palace,Leeds,0,0,
Leicester,Aston Villa,0,0,
Liverpool,Everton,2,0,
Man City,Watford,5,1,
Norwich,Newcastle,0,3,
Aston Villa,Norwich,2,0,
Everton,Chelsea,1,0,
Leeds,Man City,0,4,
Man Utd,Brentford,3,0,
Newcastle,Liverpool,0,1,
Southampton,Crystal Palace,1,2,
Spurs,Leicester,3,1,
Watford,Burnley,1,2,
West Ham,Arsenal,1,2,
Wolves,Brighton,0,3,
Arsenal,Leeds,2,1,
Brentford,Southampton,3,0,
Brighton,Man Utd,4,0,
Burnley,Aston Villa,1,3,
Chelsea,Wolves,2,2,
Crystal Palace,Watford,1,0,
Leicester,Everton,1,2,
Liverpool,Spurs,1,1,
Man City,Newcastle,5,0,
Norwich,West Ham,0,4,
Aston Villa,Crystal Palace,1,1,
Everton,Brentford,2,3,
Leeds,Brighton,1,1,
Man Utd,Chelsea,1,1,
Newcastle,Arsenal,2,0,
Southampton,Liverpool,1,2,
Spurs,Burnley,1,0,
Watford,Leicester,1,5,
West Ham,Man City,2,1,
Wolves,Norwich,1,1,
Arsenal,Everton,5,1,
Brentford,Leeds,1,2,
Brighton,West Ham,3,1,
Burnley,Newcastle,1,2,
Chelsea,Watford,2,1,
Crystal Palace,Man Utd,1,0,
Leicester,Southampton,4,1,
Liverpool,Wolves,3,1,
Man City,Aston Villa,3,2,
Norwich,Spurs,0,5,
